Filename,Timestamp (s),Expression,Confidence
face_0.48.jpg,0.48,neutral,86.11092484658509
face_0.97.jpg,0.97,sad,47.48218357563019
face_1.45.jpg,1.45,sad,55.66932491429747
face_1.93.jpg,1.93,angry,56.54808282852173
face_10.14.jpg,10.14,sad,53.60668897628784
face_10.62.jpg,10.62,sad,57.043808698654175
face_100.41.jpg,100.41,sad,39.09280728187474
face_100.90.jpg,100.9,sad,43.90263259410858
face_101.38.jpg,101.38,sad,55.585551261901855
face_101.86.jpg,101.86,sad,51.618558168411255
face_102.34.jpg,102.34,sad,28.113049268722534
face_102.83.jpg,102.83,sad,48.59841167926788
face_103.31.jpg,103.31,sad,45.42308449745178
face_103.79.jpg,103.79,sad,53.86480689048767
face_104.28.jpg,104.28,sad,47.179916164865034
face_104.76.jpg,104.76,sad,50.95730412515353
face_105.24.jpg,105.24,sad,52.248615026474
face_105.72.jpg,105.72,sad,52.59159207344055
face_106.21.jpg,106.21,neutral,56.85028352138001
face_106.69.jpg,106.69,sad,50.2393364906311
face_107.17.jpg,107.17,sad,52.64853270632418
face_107.66.jpg,107.66,sad,58.91469717025757
face_108.14.jpg,108.14,sad,55.108502811700276
face_108.62.jpg,108.62,sad,51.71579718589783
face_109.10.jpg,109.1,sad,46.434783935546875
face_109.59.jpg,109.59,sad,62.91968822479248
face_11.10.jpg,11.1,sad,54.076820611953735
face_11.59.jpg,11.59,sad,78.15112937397537
face_110.07.jpg,110.07,sad,54.99175786972046
face_110.55.jpg,110.55,sad,83.11136566265039
face_111.03.jpg,111.03,sad,58.37528705596924
face_111.52.jpg,111.52,sad,46.346398970270094
face_112.00.jpg,112.0,sad,58.483478932588035
face_112.48.jpg,112.48,sad,54.94416356086731
face_112.97.jpg,112.97,sad,73.50194454193115
face_113.45.jpg,113.45,sad,58.05248022079468
face_113.93.jpg,113.93,neutral,50.97779631614685
face_114.41.jpg,114.41,sad,69.93793069946352
face_114.90.jpg,114.9,sad,70.15347480773926
face_115.38.jpg,115.38,sad,66.38512015342712
